id	kind	source	symbol	line	sha256	strategy
R0169	runtime_source	src/runtime/cli/create/projects/react-shadcn-spa/styles/index.css	index.css	1	e50aca50fff677430c037273af847577c395704b21d787c866bdd5ed5ba108ec	native_implementation
R0170	runtime_source	src/runtime/cli/create/projects/react-shadcn-spa/tsconfig.json	tsconfig.json	1	89917a5d8b472893ae4155abf32b37e6477b04194db2ef9ce867591635caecd0	native_implementation
R0171	runtime_source	src/runtime/cli/create/projects/react-spa/REPLACE_ME_WITH_YOUR_APP_FILE_NAME.css	REPLACE_ME_WITH_YOUR_APP_FILE_NAME.css	1	89c954d6a8e7207d9abb4db85ba0bffe9cf933e0f004665e3ae8a4d6882c16fc	native_implementation
R0172	runtime_source	src/runtime/cli/create/projects/react-spa/package.json	package.json	1	c5713cbd7ba846d44db032bb59d57249f7e0317252b11252e583da11573c6896	native_implementation
R0173	runtime_source	src/runtime/cli/create/projects/react-tailwind-spa/REPLACE_ME_WITH_YOUR_APP_FILE_NAME.css	REPLACE_ME_WITH_YOUR_APP_FILE_NAME.css	1	42070e0b45bb201b2b838a52aaaa6e965f964e0b542d97f1fe517fe59c4b75a8	native_implementation
R0174	runtime_source	src/runtime/cli/create_command.rs	create_command.rs	1	caa658faecac4034d95c31d3e367a0f4c7a8c02cc47bc848cc642ad13d5b0af6	native_implementation
R0175	runtime_source	src/runtime/cli/discord_command.rs	discord_command.rs	1	d71b77bcd83aa946ab83608e63f5f573e75940ff397f762509a33125ec49063e	native_implementation
R0176	runtime_source	src/runtime/cli/exec_command.rs	exec_command.rs	1	16fe4144407e3624f695d50c1a5af95a35fea5e52c3e2c5e74fb5068ab088a77	native_implementation
R0177	runtime_source	src/runtime/cli/filter_arg.rs	filter_arg.rs	1	b65737bb70ac08018b204c1b2ddd32452269959b33502505028e3141a4afbaf1	native_implementation
R0178	runtime_source	src/runtime/cli/filter_run.rs	filter_run.rs	1	158c1c70061df9c4f8ec1b8d5d016cfa114d235d9a03c134269bbee26bddbf29	native_implementation
R0179	runtime_source	src/runtime/cli/fuzzilli_command.rs	fuzzilli_command.rs	1	59e06747a497ee1f269c21b1fb5e119135c9a52e7f596380368abbf0650abdde	native_implementation
R0180	runtime_source	src/runtime/cli/init/README.default.md	README.default.md	1	8e25bfaca9ef33e4f6ed29f3db63309621e579a46516fc46e5685c12a8ee2005	native_implementation
R0181	runtime_source	src/runtime/cli/init/README2.default.md	README2.default.md	1	aa855264efce01b387f6d2c9eca5f55c58c51ee609a6ebaa82f5ba432429c88b	native_implementation
R0182	runtime_source	src/runtime/cli/init/gitignore.default	gitignore.default	1	c9966ff04b65f78bd896bceb4edbb4e5c83c1aa95535cc7cd5ee8d3ea5bc7db5	native_implementation
R0183	runtime_source	src/runtime/cli/init/react-app/bun-env.d.ts	bun-env.d.ts	1	3768daee1dab2665db8559d8f6da54126b7905dbcb10ddcdedbde66ec46f0c5f	native_implementation
R0184	runtime_source	src/runtime/cli/init/react-app/bun.lock	bun.lock	1	3db5a6ffe6f8de0a6d56cc1a88587db77a8acf1016d930a8e4b5213a3f52216e	native_implementation
R0185	runtime_source	src/runtime/cli/init/react-app/bunfig.toml	bunfig.toml	1	3ab75b001b8323168a8a4ac1ef83762d22d87bb005fe77d02a1dadb79fb44733	native_implementation
R0186	runtime_source	src/runtime/cli/init/react-app/package.json	package.json	1	f9fd1b58109d082f385afceae62c6373c6ce0b8594339cd08d12e1112069d97b	native_implementation
R0187	runtime_source	src/runtime/cli/init/react-app/src/APITester.tsx	APITester.tsx	1	90a97e9579a87418fc11a240a9f315436d2290e6a0e3b93249efbd64f0ffdbf7	native_implementation
R0188	runtime_source	src/runtime/cli/init/react-app/src/App.tsx	App.tsx	1	3cc5b308c80a9762baff0f44660912f0e79b524a77f8112490f713ee87521dd2	native_implementation
R0189	runtime_source	src/runtime/cli/init/react-app/src/frontend.tsx	frontend.tsx	1	9c7730225b0ff0d776a1566a374abde22792aa5fac714948d10ac8e153cd96e9	native_implementation
R0190	runtime_source	src/runtime/cli/init/react-app/src/index.css	index.css	1	d170cb2bc317cb6b123eb6db0347f74c39dae3a8a83c946c112a03aaea7a9456	native_implementation
R0191	runtime_source	src/runtime/cli/init/react-app/src/index.html	index.html	1	8d66235492e860b5f52abd4088568e9584a475620e6aacc58d379b15264fecd8	native_implementation
R0192	runtime_source	src/runtime/cli/init/react-app/src/index.ts	index.ts	1	62440a7e556ee7e4fe43cdab417722fe281f2518c98f23f445126426b2ab9b85	native_implementation
R0193	runtime_source	src/runtime/cli/init/react-app/src/logo.svg	logo.svg	1	6395a2d7c1700c4397d0f0bf0ad466b6d01787dc22ad0a17cb0e1d45c31463a8	native_implementation
R0194	runtime_source	src/runtime/cli/init/react-app/src/react.svg	react.svg	1	a5853e9b6ca58e63563dca42631c0b5762b9fdb4d1b1c7ce80224f4f3fb07233	native_implementation
R0195	runtime_source	src/runtime/cli/init/react-app/tsconfig.json	tsconfig.json	1	3a84940b65e93347a43d84b2c64c2e212da0e47c97c3dce8874814049c4d982a	native_implementation
R0196	runtime_source	src/runtime/cli/init/react-shadcn/build.ts	build.ts	1	e56316e5e6c1557310802cfcfbdd9319256d972b19eb41b403963fc51933e203	native_implementation
R0197	runtime_source	src/runtime/cli/init/react-shadcn/bun-env.d.ts	bun-env.d.ts	1	3768daee1dab2665db8559d8f6da54126b7905dbcb10ddcdedbde66ec46f0c5f	native_implementation
R0198	runtime_source	src/runtime/cli/init/react-shadcn/bun.lock	bun.lock	1	575bd3be2196dd5229bf7bc08483dec93a342858edd6c2f3eaf12368569959df	native_implementation
R0199	runtime_source	src/runtime/cli/init/react-shadcn/bunfig.toml	bunfig.toml	1	d2ffb1894ca439ec14a9c7d1e9be6163dd35e8c9e52b7e0e0858ae8d3b937900	native_implementation
R0200	runtime_source	src/runtime/cli/init/react-shadcn/components.json	components.json	1	893b173c7bcf78eabbed75926cbccc02611580388ea642fb2c080170fb0c443d	native_implementation
R0201	runtime_source	src/runtime/cli/init/react-shadcn/package.json	package.json	1	cc4be6e92254ce792fca408e6310235c55f0fd29d7c4ecbfb1b2123f908e4b9e	native_implementation
R0202	runtime_source	src/runtime/cli/init/react-shadcn/src/APITester.tsx	APITester.tsx	1	eb18427ff581db5f7e970b9b6e36225714d325ce22361b5faa3f4752261808c5	native_implementation
R0203	runtime_source	src/runtime/cli/init/react-shadcn/src/App.tsx	App.tsx	1	d27a1ccc1aef2a68ea0d66f252048df6d6f6989bd80d00754cd94a72128fe3c8	native_implementation
R0204	runtime_source	src/runtime/cli/init/react-shadcn/src/components/ui/button.tsx	button.tsx	1	7131c748087d5ffb11eb75333f259450af627700849dd9bb8c228279c6330962	native_implementation
R0205	runtime_source	src/runtime/cli/init/react-shadcn/src/components/ui/card.tsx	card.tsx	1	655409b9d06738bc09886da9068d233e5c3a94297d6d5ec840d590c8f6be01b3	native_implementation
R0206	runtime_source	src/runtime/cli/init/react-shadcn/src/components/ui/input.tsx	input.tsx	1	5316b2ad93e34491d5b52e87be8648d9919e89a00566b18019692b8a162b2c49	native_implementation
R0207	runtime_source	src/runtime/cli/init/react-shadcn/src/components/ui/label.tsx	label.tsx	1	b5bda1ee84f79156d2efc81411e3047e93f72df15ad13a9a4eafbede66af77e9	native_implementation
R0208	runtime_source	src/runtime/cli/init/react-shadcn/src/components/ui/select.tsx	select.tsx	1	731ab459aff76e5df2617b6e3fa55d21cf3847799e36ca540a6986b7222d43fc	native_implementation
R0209	runtime_source	src/runtime/cli/init/react-shadcn/src/components/ui/textarea.tsx	textarea.tsx	1	4cb95b6b1c5942b12aa839e417e60d46cf8875478b89eaf4304a03599a79f9b5	native_implementation
R0210	runtime_source	src/runtime/cli/init/react-shadcn/src/frontend.tsx	frontend.tsx	1	9c7730225b0ff0d776a1566a374abde22792aa5fac714948d10ac8e153cd96e9	native_implementation
R0211	runtime_source	src/runtime/cli/init/react-shadcn/src/index.css	index.css	1	008fa4f8a5923564cf75c6ed8dd58d6f1bef5aaf30f529f6f6a7adffba60d6fd	native_implementation
R0212	runtime_source	src/runtime/cli/init/react-shadcn/src/index.html	index.html	1	ca2b52c087ffd9f1c872f5285f216a9d919cf6f07510980836e2ee7800143b8d	native_implementation
R0213	runtime_source	src/runtime/cli/init/react-shadcn/src/index.ts	index.ts	1	62440a7e556ee7e4fe43cdab417722fe281f2518c98f23f445126426b2ab9b85	native_implementation
R0214	runtime_source	src/runtime/cli/init/react-shadcn/src/lib/utils.ts	utils.ts	1	4acbc7165a8d54738ff62b51414e772c08fe78434e524e6d8770180d3ba2925f	native_implementation
R0215	runtime_source	src/runtime/cli/init/react-shadcn/src/logo.svg	logo.svg	1	6395a2d7c1700c4397d0f0bf0ad466b6d01787dc22ad0a17cb0e1d45c31463a8	native_implementation
R0216	runtime_source	src/runtime/cli/init/react-shadcn/src/react.svg	react.svg	1	a5853e9b6ca58e63563dca42631c0b5762b9fdb4d1b1c7ce80224f4f3fb07233	native_implementation
R0217	runtime_source	src/runtime/cli/init/react-shadcn/styles/globals.css	globals.css	1	84771f97d0b912e739366d913e0eb2bd60d7441255b3802ded27abe3162cc1fe	native_implementation
R0218	runtime_source	src/runtime/cli/init/react-shadcn/tsconfig.json	tsconfig.json	1	3a84940b65e93347a43d84b2c64c2e212da0e47c97c3dce8874814049c4d982a	native_implementation
R0219	runtime_source	src/runtime/cli/init/react-tailwind/build.ts	build.ts	1	e56316e5e6c1557310802cfcfbdd9319256d972b19eb41b403963fc51933e203	native_implementation
R0220	runtime_source	src/runtime/cli/init/react-tailwind/bun-env.d.ts	bun-env.d.ts	1	3768daee1dab2665db8559d8f6da54126b7905dbcb10ddcdedbde66ec46f0c5f	native_implementation
R0221	runtime_source	src/runtime/cli/init/react-tailwind/bun.lock	bun.lock	1	928e1206222a1dc5d72a56785e979baf924d2fe82d91f705ba809a5fb7085962	native_implementation
R0222	runtime_source	src/runtime/cli/init/react-tailwind/bunfig.toml	bunfig.toml	1	37f9c6f7512618ea59c6ce23f2a710a1c03977822fc241b7198ce13aa654e18d	native_implementation
R0223	runtime_source	src/runtime/cli/init/react-tailwind/package.json	package.json	1	2f637be4eb07e228e4dada9b9e3932f1d054940fa54b992f97e3e1979bc50338	native_implementation
R0224	runtime_source	src/runtime/cli/init/react-tailwind/src/APITester.tsx	APITester.tsx	1	1014a1b374bb3ba6b0eb637cd13b9e02d4881ed74a5ae39973738ad8aef68cc4	native_implementation
R0225	runtime_source	src/runtime/cli/init/react-tailwind/src/App.tsx	App.tsx	1	b89f8d8764d02c161f93abbe73fa4d59e020c78cdf7e374d382cf93a341ffa46	native_implementation
R0226	runtime_source	src/runtime/cli/init/react-tailwind/src/frontend.tsx	frontend.tsx	1	9c7730225b0ff0d776a1566a374abde22792aa5fac714948d10ac8e153cd96e9	native_implementation
R0227	runtime_source	src/runtime/cli/init/react-tailwind/src/index.css	index.css	1	fade4849d282c9cbdb1f9ec9ec897aaaede7df4b1bef5dffb22d2511531189b0	native_implementation
R0228	runtime_source	src/runtime/cli/init/react-tailwind/src/index.html	index.html	1	8d66235492e860b5f52abd4088568e9584a475620e6aacc58d379b15264fecd8	native_implementation
R0229	runtime_source	src/runtime/cli/init/react-tailwind/src/index.ts	index.ts	1	62440a7e556ee7e4fe43cdab417722fe281f2518c98f23f445126426b2ab9b85	native_implementation
R0230	runtime_source	src/runtime/cli/init/react-tailwind/src/logo.svg	logo.svg	1	6395a2d7c1700c4397d0f0bf0ad466b6d01787dc22ad0a17cb0e1d45c31463a8	native_implementation
R0231	runtime_source	src/runtime/cli/init/react-tailwind/src/react.svg	react.svg	1	a5853e9b6ca58e63563dca42631c0b5762b9fdb4d1b1c7ce80224f4f3fb07233	native_implementation
R0232	runtime_source	src/runtime/cli/init/react-tailwind/tsconfig.json	tsconfig.json	1	3a84940b65e93347a43d84b2c64c2e212da0e47c97c3dce8874814049c4d982a	native_implementation
R0233	runtime_source	src/runtime/cli/init/rule.md	rule.md	1	1f39d317f2417649a7a29a1f98a220be0cdce47fa3f896c4fa565eaee9f150cf	native_implementation
R0234	runtime_source	src/runtime/cli/init/tsconfig.default.json	tsconfig.default.json	1	4dc04b191bf94ab851419f7c62b4514bc1d1ec2eadaf8bff5b97c002f6d84b5b	native_implementation
R0235	runtime_source	src/runtime/cli/init_command.rs	init_command.rs	1	de0c6ba16cd0fee14fc45df94cd0108bd8396fe64497569f2a2b25258a515239	native_implementation
R0236	runtime_source	src/runtime/cli/install.ps1	install.ps1	1	b293e028d51c5728efcceb401e2552c170497b8f18bdb381a88c55169c41cc6f	native_implementation
R0237	runtime_source	src/runtime/cli/install.sh	install.sh	1	04882bf41679d49d9af108657a1e5515bf04fdf2940d12c0d0b1e5d79dc53be8	native_implementation
R0238	runtime_source	src/runtime/cli/install_command.rs	install_command.rs	1	65626ed36285cefcfcbbeb3f53fd4058ab3783be3e61d7fcee63dbd41836cc0c	native_implementation
R0239	runtime_source	src/runtime/cli/install_completions_command.rs	install_completions_command.rs	1	9c1d805065c883925f9f65befbcfc3f9d0c071f5bbe73afc1949720a9be83689	native_implementation
R0240	runtime_source	src/runtime/cli/link_command.rs	link_command.rs	1	d6fdc05abfa6d4792e8d05aaca682e416ee769daf75157ae30a532dde3f6bfb4	native_implementation
R0241	runtime_source	src/runtime/cli/mod.rs	mod.rs	1	cf43d0dfb4cf078f4d285005151e9eb8bc952bb982e3be94038c47940c25f292	native_implementation
R0242	runtime_source	src/runtime/cli/multi_run.rs	multi_run.rs	1	cb23df287f606461739c65710fda27cb7c1bd389e3ebc2d989334a77557ef50b	native_implementation
R0243	runtime_source	src/runtime/cli/open.rs	open.rs	1	ab2be42132810d753307d2d9e6ccccda82baec4bb5e2d53a6c81410ff60769b2	native_implementation
R0244	runtime_source	src/runtime/cli/outdated_command.rs	outdated_command.rs	1	ecb93c007bb3e2ea91f59dd4c2117f7cb5381934dd1df5a9f32a8864533a2a70	native_implementation
R0245	runtime_source	src/runtime/cli/pack_command.rs	pack_command.rs	1	c6156dd6812a5cde4a36943606256a3e8fbeb9eaceea0513ff4ecb58c48032ab	native_implementation
R0246	runtime_source	src/runtime/cli/package_manager_command.rs	package_manager_command.rs	1	5a6654c1a7f1233448b9f710f467926449a19c4ed6b9afa55e25d7c1df525732	native_implementation
R0247	runtime_source	src/runtime/cli/patch_command.rs	patch_command.rs	1	d4dc3819351d5a4ed0d02d7d54b4a4c566848317a7e7e331edd6575fb7a3e701	native_implementation
R0248	runtime_source	src/runtime/cli/patch_commit_command.rs	patch_commit_command.rs	1	3d60f3db5ad159ff3cdf2173a4bb07ef64b5ccf9034d49d1b27d3bf7b880df02	native_implementation
R0249	runtime_source	src/runtime/cli/pm_pkg_command.rs	pm_pkg_command.rs	1	8886a9b23d817d4b5b076bf523c4f788c98fd255def9fb24b06b6305cdf0e442	native_implementation
R0250	runtime_source	src/runtime/cli/pm_trusted_command.rs	pm_trusted_command.rs	1	ced5cb3f586ef12187382f25c30f885cfe53ff9e1a6fc2ada567feb6031fdb30	native_implementation
R0251	runtime_source	src/runtime/cli/pm_update_package_json.rs	pm_update_package_json.rs	1	70994d04e7a16f4de2239d8e9785cbb1780f4f510472aadc3d76aaf3d147abb9	native_implementation
R0252	runtime_source	src/runtime/cli/pm_version_command.rs	pm_version_command.rs	1	f2a661d42f3a67e1d17a9d629ac37ab7f1019284dd7f88b917b43e4124c57077	native_implementation
R0253	runtime_source	src/runtime/cli/pm_view_command.rs	pm_view_command.rs	1	ec6a93ae2bde3f84f0575a48a17f670161f51fad1ae51d3fad2e148a59e97749	native_implementation
R0254	runtime_source	src/runtime/cli/pm_why_command.rs	pm_why_command.rs	1	90fea8a82dce51817204a46812655c80925bbde4200728296a7a4b1073b0dbce	native_implementation
R0255	runtime_source	src/runtime/cli/publish_command.rs	publish_command.rs	1	71d48c4a2140f1795934a778b16837b4348c32a91458849ae0e195ba20bc0543	native_implementation
R0256	runtime_source	src/runtime/cli/remove_command.rs	remove_command.rs	1	6b29741ba54fcaf0eb651e09029c9a426da97deabc82ceb8c99eba4b225c0924	native_implementation
R0257	runtime_source	src/runtime/cli/repl.rs	repl.rs	1	a60bf1adb381d8dc1cbd97f357501ebe51964a4d870dea4d44d3071bf0af5ff4	native_implementation
R0258	runtime_source	src/runtime/cli/repl_command.rs	repl_command.rs	1	900c298f26eaa2d20fed96e3b644fd1696510a82e9b45ae2c63c5ffca1262202	native_implementation
R0259	runtime_source	src/runtime/cli/run_command.rs	run_command.rs	1	4e408a338c37b766b1f6a574eea498897ba4fab327d3f3405dc135afd0a8da83	native_implementation
R0260	runtime_source	src/runtime/cli/scan_command.rs	scan_command.rs	1	0cf9b03d06076b6ea389a0bad779529478e64c0382a15b80443b7f9cf349650c	native_implementation
R0261	runtime_source	src/runtime/cli/shell_completions.rs	shell_completions.rs	1	7e8141a94518bcad90623579b08d53a03674c93472bc7c320f053cc68d778846	native_implementation
R0262	runtime_source	src/runtime/cli/test/ChangedFilesFilter.rs	ChangedFilesFilter.rs	1	ddae1a0108b1b1f215447c3f1d25114535220a078750fdc23783c1086a08c2ba	native_implementation
R0263	runtime_source	src/runtime/cli/test/ParallelRunner.rs	ParallelRunner.rs	1	b53d060ea067683ee3835bd9edba6045a2ca6759555434c9f9b9283d84799452	native_implementation
R0264	runtime_source	src/runtime/cli/test/Scanner.rs	Scanner.rs	1	ccbcd63f517b1e9024555e6e4a6263f9560fed33b0be9fbdc0cd3cdb3e64282a	native_implementation
